Country,Year,Tech Sector,Market Share (%),R&D Investment (in USD),Number of Patents Filed (Annual),Number of Tech Companies,Tech Exports (in USD),Number of Startups,Venture Capital Funding (in USD),Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
Japan,2010,Cloud Computing,40.71474337002234,69333558695.56842,3268,447,99478538871.59766,459,20701119488.889065,9,84.31430473370622,51.1221780650504,79,AI Chips,540250
Japan,2022,Software,30.205161996823787,46776859477.346985,2091,822,35178751746.408104,471,9929457196.8191,5,92.16575597515589,13.767949816532346,43,Semiconductors,124559
Japan,2012,Biotechnology,45.76221902960425,77886335995.09106,8635,501,176522892744.3548,296,5453468715.917681,2,40.277387553345534,43.87925091631834,77,Cloud Servers,514321
Japan,2020,Cloud Computing,14.76849415798936,22809380757.20047,8878,209,147307366921.5017,239,45664771979.36003,3,53.346019766723714,73.1412575077669,179,Robots,643117
China,2002,Robotics,24.90276321704954,60692813715.12614,9932,1276,124545398067.26955,296,12677188447.720135,4,94.10851998976324,49.07038416204032,36,Semiconductors,347411
China,2018,Semiconductor,30.80446987443728,55600955246.44774,8821,1026,47041987881.32184,352,25592068184.566147,7,59.064947472737856,14.564388486167434,42,Semiconductors,250469
China,2018,Robotics,22.62506254166379,45611646436.35615,5599,1565,10955533937.257364,440,20895762312.68284,2,56.55073430702747,52.93287927109411,148,Semiconductors,775334
Japan,2003,Robotics,32.01178194843443,25327018993.000282,1445,1631,156337970334.22455,453,34565125865.92067,15,68.04258830464367,86.84737707583906,111,Robots,710688
China,2013,Semiconductor,15.245714107155209,50905033827.15074,4218,1651,122988295186.20688,25,8785041625.650293,17,70.89986566669458,87.24827274407359,61,5G Equipment,208069
Japan,2000,Software,23.026862577855,47350855430.063736,4254,809,100452509124.5035,46,31662975416.697624,18,97.08053114867488,67.23992040171473,105,Semiconductors,691894
China,2005,AI,30.258992054899053,49258667989.58583,2984,438,132118594770.09131,243,4386997503.572473,19,45.24041888657204,13.368462835859374,67,Cloud Servers,443721
China,2001,Telecommunications,21.695628457507496,57276223939.39624,2803,1600,97196819061.57217,422,2728585855.1433024,12,93.64728928458473,26.378209325279638,58,AI Chips,618099
China,2015,Semiconductor,7.287167607601128,68658240140.24166,2188,1613,101333864249.2091,289,16534219879.161724,7,57.34937540798853,62.64377533664223,74,5G Equipment,833753
China,2019,Biotechnology,12.65112079401461,81538519331.89008,6489,1161,134035577333.80067,12,5372961152.038168,16,57.26720405421237,55.40628831173851,81,AI Chips,969639
Japan,2009,Robotics,12.226771903402508,27186301069.451824,6377,1913,58184529551.2172,305,36587931895.4602,17,76.94596719810323,71.26161701015738,43,Semiconductors,843280
Japan,2003,Semiconductor,34.85393363611759,95331309217.59161,6621,1876,155498291536.24707,76,33799571732.321346,4,42.326278591485426,51.24889440146287,162,Semiconductors,247766
Japan,2012,Cloud Computing,21.93668082628019,47144309253.94916,9936,475,48503396204.99398,144,6581472345.963977,9,76.21353520762457,62.00790207562784,131,Robots,43123
China,2000,Cloud Computing,12.190055953076493,19224371518.224335,5829,908,106245156055.79294,319,8217783957.837273,5,95.65141995681037,23.73613308747978,108,Semiconductors,435546
Japan,2005,Cloud Computing,38.5936388847754,67834081612.770676,1354,1401,32117746415.398922,474,8541178130.365925,10,87.00335230761416,52.75910187463878,63,Cloud Servers,701536
Japan,2022,Cloud Computing,22.47365324632308,18630635340.299225,2757,1241,32870975001.013863,434,29529845545.191135,13,46.66546465339641,26.58298304162078,16,Cloud Servers,437928
China,2001,AI,7.686022259751413,99591409589.7834,2025,629,97405607000.42531,113,3087263198.3661103,16,96.8425645683987,38.94271624504471,109,5G Equipment,240934
Japan,2007,Telecommunications,35.17974164304115,26169898449.720627,9291,922,51063695148.45517,104,34735184120.921196,19,64.54341684554929,67.40322948056439,88,Robots,388538
Japan,2013,Robotics,19.742044346445226,49606724073.952995,4541,1311,198697534489.58066,111,46960992318.715706,15,50.11807520849184,87.05369740427656,84,Semiconductors,290502
Japan,2009,Software,44.703367195400126,51962352788.40681,6988,287,129966176784.89127,205,9531543425.139565,19,71.33864137429174,41.779061782185366,158,5G Equipment,307291
Japan,2006,Biotechnology,45.49185595094334,70775466188.61264,3065,933,95610859400.08813,139,33201053662.55167,7,76.03304059492982,84.21657928851842,56,Semiconductors,151586
Japan,2018,Software,13.197277261775527,65361803478.67094,7789,1449,64522569370.2593,217,44904383641.98376,18,42.34902144682276,15.32107058353013,154,AI Chips,294382
China,2020,Biotechnology,48.09181039736954,43276978747.250656,9379,984,8781911557.938244,382,15913609756.903175,12,41.27843772922908,73.1659311024213,49,Cloud Servers,185551
China,2003,AI,35.29648828158136,20098632025.375973,9599,781,119375554893.4392,264,48994011236.39491,13,72.23170162955545,89.6126588487054,128,Cloud Servers,76070
Japan,2018,Telecommunications,35.76952220233629,91477916043.13664,859,805,45700862414.844795,437,28314888703.832794,19,92.2627975309509,46.70965216748205,71,Cloud Servers,307508
China,2020,Biotechnology,16.066594124513344,24220201272.681934,4942,848,87507497647.50139,214,12747714736.3201,13,54.862294026683024,77.25643549709072,73,Cloud Servers,253400
Japan,2005,Robotics,7.129398371856117,53633259216.13082,2286,1557,181092195487.09982,479,24626512693.047943,12,64.42086277160091,20.9349478104561,168,Robots,214388
China,2000,Software,13.345944391199302,64322094523.88333,9897,1290,30157959016.760094,210,46965223055.46854,1,43.15386504842477,54.781754530824955,108,Semiconductors,123930
China,2009,Software,14.411958674466014,95518873369.76411,6850,1282,29494161699.00123,420,6977020546.595039,16,73.31449052245085,10.908230269366479,171,Robots,443065
China,2023,Cloud Computing,24.598046655196928,75468074231.18027,2203,1769,13611805989.137774,493,47067297061.37098,5,80.82847661717332,80.87069701382262,139,AI Chips,16614
Japan,2003,Biotechnology,20.319963998856963,52226726104.227325,5219,1877,98054777817.16428,77,11852652261.458755,19,45.10083909999789,36.400471908027285,61,Cloud Servers,104240
China,2005,Software,5.422086840991405,7263815971.054073,4247,1098,4323411560.425627,452,24156482140.53953,14,86.41971707994202,89.88781145617784,52,Cloud Servers,893671
China,2022,AI,28.64327392742855,18464844100.13941,7276,848,38790250336.46991,416,38979975967.80088,2,66.95261386277961,40.57291493832263,47,AI Chips,78086
China,2014,Robotics,44.83345147476199,61800506708.567894,3023,1396,85359186647.89671,223,16876106069.659487,14,42.09160596862342,73.24381880998521,196,Cloud Servers,667370
China,2013,Robotics,35.6447138508366,5632134128.4633665,9374,307,32406223189.11205,432,18436048377.49799,8,46.70929035769674,65.06830747370847,4,Robots,803980
China,2011,Robotics,19.640141820677304,58676696568.59641,5313,750,55433455244.38685,61,39058478377.2488,1,41.60073535287347,65.83079586245478,71,Semiconductors,243665
Japan,2020,Software,44.50294689555405,3139406011.1627774,5504,276,21794671228.089832,77,29056005946.37198,8,84.44566844442934,63.91980747878803,50,Cloud Servers,636223
China,2014,Telecommunications,42.10152041582661,55225993536.997604,1842,971,88113786797.19592,482,19537955793.91382,7,53.92414662025535,36.07097901755117,86,5G Equipment,560102
China,2012,Robotics,43.3962420855246,14252881227.568237,1558,1899,77407612224.91342,292,17840223105.061874,17,74.682157987873,36.87347377894767,176,5G Equipment,632456
Japan,2008,Robotics,45.297491149919345,55163905195.09119,1744,1794,58804837444.67708,316,35610480149.68642,17,40.34172498725304,18.857657383029203,30,Robots,378307
Japan,2011,Robotics,5.821317809478376,75412611865.07785,9105,910,155446835538.59424,19,8652961986.400085,13,66.49350244451688,76.99184778981605,113,5G Equipment,345994
China,2006,Semiconductor,18.99499606718472,12576105844.452538,7158,1060,15364446180.532673,435,45693961093.750916,16,93.78744323358771,56.62098445899943,41,Cloud Servers,221253
China,2009,Telecommunications,17.54929401933846,98796154126.54579,5298,1343,171298390418.28192,28,44974019640.425476,2,71.14884753375573,55.47467578150975,87,5G Equipment,877415
China,2010,Telecommunications,42.23721816035459,94123246480.66585,8906,119,184920743459.23688,203,17402556122.790874,3,54.79981843575376,64.50811114643244,118,5G Equipment,648310
Japan,2018,Semiconductor,24.116016268398216,42193098431.47363,3606,1729,151269076928.3087,273,37227842390.4301,19,81.14605593968422,89.26406178201435,65,Semiconductors,336519
Japan,2019,Semiconductor,49.77953426040585,14110426530.72964,2548,391,102004690199.06725,266,22216839598.94011,18,48.831138877081685,87.64887430959244,173,Cloud Servers,280612
China,2006,Software,39.14806871338885,99803585575.8486,4711,417,24783836696.26894,219,14696844322.604809,15,64.47961498312753,73.5486957372722,126,Robots,950600
Japan,2000,Semiconductor,25.11635774287959,25824418694.737827,6369,1849,33180427327.83816,190,31265322570.789326,16,93.16678178487761,14.023184541409508,99,Cloud Servers,594929
China,2002,Semiconductor,40.330246644721086,33166760085.09402,1896,68,139900817019.88025,151,15922795219.003622,10,93.64947142589479,69.68484365281692,21,Robots,501388
China,2021,Biotechnology,41.28953298733131,51185308923.28465,3463,1636,46389636907.27859,157,48546855492.882484,11,83.00099320311341,12.990592829620491,121,5G Equipment,127244
Japan,2023,Semiconductor,22.729365279845776,6559473512.671924,725,1553,67556977448.49791,124,16474247660.947145,16,74.38196247078218,79.46219269674769,100,AI Chips,877468
China,2019,Biotechnology,16.337718659847457,95219676399.66183,9555,1324,172448417511.5718,410,782891724.7788426,4,76.0759468670303,22.851508049112752,184,AI Chips,366752
Japan,2014,Semiconductor,36.45454648083953,68266079067.604294,861,1582,78135001664.766,473,43113839689.05329,5,71.10657143549435,31.586047638579604,31,Semiconductors,301351
Japan,2013,Software,31.104618174109596,28908416869.51594,896,1601,132990685039.07932,478,44601170832.78538,11,89.25578737055613,31.606746655497204,199,AI Chips,274142
Japan,2006,AI,20.848318693091564,67000764918.077736,3367,1865,191963186164.4397,441,21238325484.039482,2,68.24291282060275,23.517181220759255,128,AI Chips,647986
Japan,2004,AI,7.663371978115579,85227249345.59756,5126,1083,182338589483.76978,198,31197685895.98912,8,50.12293766993249,20.297355363259946,121,5G Equipment,91544
China,2010,Software,8.358039093766791,74171914136.46675,170,1400,157580667279.96362,93,33179296526.2412,18,65.99910002230092,64.26403403844557,74,AI Chips,891046
China,2023,Cloud Computing,22.993980379377625,10349487877.680218,660,547,14759530772.626472,11,3358137128.1357365,9,70.14881308091202,85.4022104347753,155,Cloud Servers,914380
Japan,2013,Software,44.20560408579787,92709834538.20227,8680,230,45475952193.27134,277,19882016340.29092,17,53.344402205381265,46.74375374070866,109,Cloud Servers,933360
China,2011,Software,44.99502543896919,42907133275.74794,2397,979,163787085030.5832,356,36823684482.1579,3,76.86705164599596,15.750268054086334,82,Cloud Servers,957256
China,2000,AI,30.3265533143832,97888663277.6195,2522,829,75143063305.16017,111,26215012860.127987,17,56.110467766537084,88.04052361373476,185,Robots,27862
Japan,2002,Robotics,36.610625026582426,89927600739.58076,1929,1589,194797583014.49805,490,9165946846.755735,11,69.6270482683615,44.01667445359939,30,AI Chips,271425
Japan,2005,Semiconductor,5.0800999895750145,79864444802.90182,1949,440,167435987989.26797,346,22591427886.904305,8,82.3369787338047,22.045776011413764,157,Cloud Servers,937549
Japan,2004,Robotics,49.689593734981884,88276305893.75801,3857,94,28249683768.338722,219,12065990087.52088,6,89.01144531333969,57.72012450130507,15,Robots,973253
China,2011,Semiconductor,32.23213841809509,59926978517.40918,4000,1476,49706668982.36784,392,5455261054.707455,5,46.61092773097628,84.61737744940883,170,5G Equipment,287284
Japan,2016,Biotechnology,42.04265995791757,23140220868.60121,9640,1111,104197467581.46925,335,48504948933.970215,16,87.16381090288928,33.64813988678985,84,5G Equipment,710648
Japan,2003,AI,13.406997976906462,49409556844.46977,9299,1927,195085209480.4043,142,33758986162.714836,17,57.16911495727564,86.228085146631,153,AI Chips,167111
Japan,2005,Cloud Computing,45.19397261202258,29475434672.784836,7179,1861,159176576152.8348,348,30370611488.187073,18,63.023295771701996,84.92080264729532,16,Cloud Servers,37718
China,2009,Telecommunications,48.633800768123436,95400842499.73422,6604,1028,18623751370.31786,461,5917783533.049922,15,76.25184111484569,20.107639593047423,181,Semiconductors,37104
China,2017,AI,29.27644153252619,85146257693.8416,3918,1575,61628012098.256485,307,37213489553.308586,16,48.47988438475968,53.97299400181187,106,Cloud Servers,75666
China,2006,Biotechnology,10.700274324978455,17639581686.72969,1254,695,60178628227.23415,156,12805053888.037771,3,80.55872314313537,67.50227457432035,58,Cloud Servers,438542
China,2002,Robotics,30.461028190066855,96271599334.51276,4518,1440,2462617934.930731,276,8391407054.832058,13,96.00422065951855,20.89500348838375,120,Cloud Servers,107662
Japan,2013,Telecommunications,39.16456968318326,80900510856.89613,1877,1188,93796821339.1953,446,28877863114.144863,11,66.69112180348837,52.43610258767009,50,AI Chips,900889
China,2023,Semiconductor,27.707665066558768,80749081488.06773,3452,340,18556860580.531113,58,16073213442.207901,15,83.01962742441701,36.16682898938771,163,5G Equipment,145031
Japan,2016,Robotics,41.67196951513206,9313500460.844055,2539,80,92180038016.26392,13,19833360407.99163,8,51.880540417384125,60.855822170554354,192,5G Equipment,463124
China,2013,Telecommunications,23.761277674499848,65751759646.90752,7561,1260,18173320742.691696,160,13396538464.981697,15,92.16671504251845,22.107468898908607,180,5G Equipment,83267
Japan,2005,Biotechnology,27.546718617559375,8772496907.97873,1334,580,100218901874.92018,294,22589522429.945927,12,75.48196369958885,79.28039422565416,104,5G Equipment,853159
China,2009,Robotics,5.641835815391855,8099926003.205009,1150,269,27295688952.14562,476,46228909497.88864,14,66.184382253719,76.56713777578493,2,5G Equipment,777672
China,2007,Biotechnology,40.56678879912051,36327046516.68865,4185,1866,46083210864.905396,315,43410195034.06789,5,98.89774206507371,70.4496793555528,140,5G Equipment,819309
Japan,2000,Cloud Computing,31.9102448492357,47227662093.897,8423,1995,159984360344.62424,419,15773005334.070898,12,85.7288667013841,18.62495159084186,180,Semiconductors,361134
Japan,2004,Semiconductor,10.805234396538115,65641381575.59534,3305,1036,151893176425.83826,322,37192518062.449585,14,54.562231451563115,72.7857692121924,136,5G Equipment,7874
Japan,2023,Semiconductor,45.99423290517494,56575820425.73635,3732,1799,85258931918.91011,175,43913188249.88157,8,67.46109644882591,32.50862005870755,134,Cloud Servers,258684
China,2004,Biotechnology,32.357041487027814,51336315107.460175,4152,1989,36878674253.10683,74,48151181714.83803,13,43.656586665002266,54.729659651059215,103,Semiconductors,711203
China,2018,Robotics,45.59542583046567,52375555359.535416,9192,1824,179810952401.04968,70,23493346851.763424,12,65.34530812519269,15.723940828547134,55,Semiconductors,502168
China,2022,Telecommunications,6.047130605725564,65595476245.14458,7424,192,1411704625.066931,43,2053829620.081634,15,79.61978287236269,28.05178110465195,59,5G Equipment,682369
Japan,2023,Telecommunications,12.981873329030424,17755077202.81187,527,1679,93877608865.09517,483,44959418181.62425,1,48.262764535683296,27.594563024935617,1,AI Chips,921432
Japan,2008,Biotechnology,38.18937609896359,91065808552.8322,7196,1655,30755600559.121304,213,39779453249.88838,18,87.3844291629793,52.592053427013724,7,AI Chips,385308
Japan,2000,Software,49.9469570257208,82483223978.32982,1740,1253,118256774821.3719,467,45861619808.64368,2,76.04616064562413,48.445376999378375,51,Cloud Servers,437202
China,2014,AI,46.73062298834226,83350513939.1189,7993,571,21995398887.934452,479,33986149095.47204,19,46.895062792558015,89.277725934145,176,5G Equipment,881229
China,2023,Telecommunications,6.053370646446574,21947479627.08459,6385,164,104391167573.83757,322,36154013395.853165,13,40.17260731205651,30.551289055617286,7,AI Chips,583101
China,2011,AI,32.71012253882714,71465471703.28587,5216,1336,39327079466.06339,388,2346750557.5113072,18,84.22556854371629,22.155029087753448,95,5G Equipment,329444
Japan,2014,Robotics,46.14659690077889,31973864386.592205,891,59,20869351846.364166,246,17753335994.305206,5,80.01665444095777,40.10676346601385,67,Semiconductors,258917
Japan,2010,Robotics,45.12824784080571,73136528510.0502,9737,180,66614960211.25466,444,47669688371.236374,6,73.36575374892871,46.508463778108926,145,Robots,150051
Japan,2022,Telecommunications,15.505881241220381,60607104222.294685,1245,1769,131565022894.465,381,9623638042.83427,17,53.124632586225935,18.620740934949698,64,Cloud Servers,943719
China,2006,Software,16.877353744489287,44240893611.72586,8797,1931,63907059981.815735,54,272610961.90092075,14,82.76867046211903,78.30428502656996,79,AI Chips,838799
Japan,2003,AI,27.49700331576472,27235520187.07758,1861,1888,123390546327.43102,26,28558695008.706287,3,64.56798942259985,86.06568201159052,66,Robots,56310
Japan,2007,Robotics,19.30443534214401,13348517363.145636,8429,695,133090427873.59633,361,47169879467.56889,19,91.67040577219485,30.224415939874135,59,AI Chips,972755
Japan,2013,Cloud Computing,23.928692882685528,80814123064.46169,3537,477,179626026546.47668,352,31133331224.678535,1,82.76334235288869,19.804778444915048,34,AI Chips,193225
Japan,2021,Robotics,40.41909594020794,22704329911.54777,5552,1521,78197055317.44026,29,10996853673.729286,16,55.97523592843866,40.94078575746775,92,Cloud Servers,870424
Japan,2009,AI,38.83116789227329,96984023778.49463,5757,1730,137505587646.15436,431,747360793.4013563,9,82.0523273750999,66.49229999350685,123,Robots,819384
China,2016,Telecommunications,22.421088238818427,28816461213.989296,1794,1976,93165863125.25957,376,32534382982.01833,19,85.46495250528145,45.13288329202659,186,Semiconductors,844470
Japan,2008,Software,35.49498238063182,93150739166.06676,4620,935,130993017190.87805,491,40067507383.26957,14,50.22528344477066,80.31297648250806,134,AI Chips,946274
China,2014,Robotics,21.55870835954623,48471366320.780655,2926,1715,8183142200.966979,397,20164604765.383842,18,64.04700899316977,55.667497851647916,83,Cloud Servers,11367
Japan,2015,AI,9.423442321280557,63138368125.98494,3123,114,89439685629.2622,364,14082895919.78945,9,78.27941082141584,89.72288242999744,12,Semiconductors,105255
China,2002,AI,43.52380679516811,18952157503.575726,3436,289,2940987595.941781,251,5297988480.955635,7,43.29496547897713,27.22813595553797,57,Cloud Servers,581056
China,2008,Robotics,27.367540502016436,54690050896.18334,8584,843,116908870184.99785,426,31318476076.142563,1,41.89994070869678,70.18539566030626,158,5G Equipment,421403
China,2022,AI,24.27200864512964,6037767708.05075,1225,362,155853563332.8587,273,21020746809.657375,19,95.49903486172147,78.12025101289093,199,Robots,488117
China,2007,Cloud Computing,18.24175281802842,54244702083.91391,408,1520,145550827306.81674,120,10458180446.59639,1,73.93908135540494,20.30792779171623,26,Semiconductors,798262
Japan,2018,AI,7.412974300234405,29576162721.26324,1789,916,34769840986.129776,44,33652536642.93683,5,69.95488797475134,48.200532786079776,83,Robots,259486
Japan,2016,Software,37.92109757911867,48569025843.134384,1791,614,121729833837.90347,124,32251258069.611443,13,93.83827191637874,56.422618610972776,55,Robots,828027
Japan,2021,Robotics,37.5096457502743,96167070080.62335,7096,1936,147012348836.79773,436,4987702781.72883,8,53.35699579483046,11.167173910657509,124,Robots,802819
China,2003,Telecommunications,24.757151891004195,46125607023.83129,5025,433,136911063569.63321,465,3840489851.5750127,1,89.30749059280501,63.46971380561329,32,Cloud Servers,958228
Japan,2001,AI,14.184919293731452,49926989842.7265,5679,1201,197201587752.643,368,44499706149.16104,10,97.16510852584074,82.49021128493139,142,Semiconductors,625355
Japan,2013,Semiconductor,40.9662502334812,5664509907.458474,4563,1415,83699100099.90048,162,36764834583.78671,5,61.96054056208775,38.85130337446302,189,Cloud Servers,379252
China,2019,Telecommunications,18.12426109192065,30924509606.17147,6221,1124,192682916536.34186,415,5041742574.906887,14,96.30469012798855,16.02689903727906,176,Cloud Servers,898684
Japan,2006,Telecommunications,36.140257053201296,64678310667.40368,8532,539,116610390547.62769,484,3868136376.2564025,18,92.86596382633309,89.90457989326943,143,Robots,642280
China,2001,Telecommunications,40.45243845562069,35649567408.99435,7846,799,23900596969.935364,477,5942103928.3855095,10,98.27349629390125,31.92399001708031,37,Robots,697113
Japan,2003,Semiconductor,38.45441067937962,7680944221.223226,1095,1385,108837485927.6499,413,35257171488.70173,7,54.80537631696483,57.90508074711995,57,Robots,752277
Japan,2019,Software,48.6517459632785,65713061118.08234,5228,1812,35988242239.63576,495,22667719425.380867,16,62.01621572375782,71.31509436562611,18,AI Chips,54537
